"Proteins (g)","Fats (g)","Carbohydrates (g)","Calories","Days until the end of the shelf life","Weight (kg)","Height (cm)","Age","Physique","Individual intolerance","Usefulness of the product for humans"
"2.90","2.50","4.70","53.00","10","70","175","25","2","1","0"
"2.90","2.50","4.70","53.00","9","58","163","32","1","1","0"
"2.90","2.50","4.70","53.00","8","85","187","40","3","1","0"
"2.90","2.50","4.70","53.00","7","62","158","19","3","1","0"
"2.90","2.50","4.70","53.00","6","90","195","45","2","1","0"
"2.90","2.50","4.70","53.00","5","55","170","52","1","1","0"
"2.90","2.50","4.70","53.00","4","48","160","14","1","1","0"
"2.90","2.50","4.70","53.00","3","106","200","68","1","1","0"
"2.90","2.50","4.70","53.00","2","73","157","75","4","1","0"
"2.90","2.50","4.70","53.00","1","39","135","12","1","1","0"
"2.90","2.50","4.70","53.00","10","70","175","25","2","0","1"
"2.90","2.50","4.70","53.00","9","58","163","32","1","0","1"
"2.90","2.50","4.70","53.00","8","85","187","40","3","0","1"
"2.90","2.50","4.70","53.00","7","62","158","19","3","0","1"
"2.90","2.50","4.70","53.00","6","90","195","45","2","0","1"
"2.90","2.50","4.70","53.00","5","55","170","52","1","0","1"
"2.90","2.50","4.70","53.00","4","48","160","14","1","0","1"
"2.90","2.50","4.70","53.00","3","106","200","68","1","0","1"
"2.90","2.50","4.70","53.00","2","73","157","75","4","0","0"
"2.90","2.50","4.70","53.00","1","39","135","12","1","0","0"
"2.90","2.50","4.70","53.00","9","70","175","25","2","0","1"
"2.90","2.50","4.70","53.00","8","70","175","25","2","0","1"
"2.90","2.50","4.70","53.00","7","70","175","25","2","0","1"
"2.90","2.50","4.70","53.00","6","70","175","25","2","0","1"
"2.90","2.50","4.70","53.00","5","70","175","25","2","0","1"
"2.90","2.50","4.70","53.00","4","70","175","25","2","0","1"
"2.90","2.50","4.70","53.00","3","70","175","25","2","0","1"
"2.90","2.50","4.70","53.00","2","70","175","25","2","0","0"
"2.90","2.50","4.70","53.00","1","70","175","25","2","0","0"
"2.90","2.50","4.70","53.00","0","70","175","25","2","0","0"
"2.90","2.50","4.70","53.00","-1","70","175","25","2","0","0"
"2.90","2.50","4.70","53.00","1","70","175","25","2","0","0"
"2.90","2.50","4.70","53.00","1","58","163","32","1","0","0"
"2.90","2.50","4.70","53.00","1","85","187","40","3","0","0"
"2.90","2.50","4.70","53.00","1","62","158","19","3","0","0"
"2.90","2.50","4.70","53.00","1","90","195","45","2","0","0"
"2.90","2.50","4.70","53.00","1","55","170","52","1","0","0"
"2.90","2.50","4.70","53.00","1","48","160","14","1","0","0"
"2.90","2.50","4.70","53.00","1","106","200","68","1","0","0"
"2.90","2.50","4.70","53.00","1","73","157","75","4","0","0"
"2.90","2.50","4.70","53.00","2","39","135","12","1","0","0"
"2.90","2.50","4.70","53.00","2","70","175","25","2","0","0"
"2.90","2.50","4.70","53.00","2","58","163","32","1","0","0"
"2.90","2.50","4.70","53.00","2","85","187","40","3","0","0"
"2.90","2.50","4.70","53.00","2","62","158","19","3","0","0"
"2.90","2.50","4.70","53.00","2","90","195","45","2","0","0"
"2.90","2.50","4.70","53.00","2","55","170","52","1","0","0"
"2.90","2.50","4.70","53.00","2","48","160","14","1","0","0"
"2.90","2.50","4.70","53.00","2","106","200","68","1","0","0"
"2.90","2.50","4.70","53.00","2","73","157","75","4","0","0"
"2.90","2.50","4.70","53.00","3","39","135","12","1","0","1"
"2.90","2.50","4.70","53.00","11","62","158","19","4","0","1"
"2.00","0.10","4.80","31.00","10","70","175","25","2","1","0"
"2.00","0.10","4.80","31.00","9","58","163","32","1","1","0"
"2.00","0.10","4.80","31.00","8","85","187","40","3","1","0"
"2.00","0.10","4.80","31.00","7","62","158","19","3","1","0"
"2.00","0.10","4.80","31.00","6","90","195","45","2","1","0"
"2.00","0.10","4.80","31.00","5","55","170","52","1","1","0"
"2.00","0.10","4.80","31.00","4","48","160","14","1","1","0"
"2.00","0.10","4.80","31.00","3","106","200","68","1","1","0"
"2.00","0.10","4.80","31.00","2","73","157","75","4","1","0"
"2.00","0.10","4.80","31.00","1","39","135","12","1","1","0"
"2.00","0.10","4.80","31.00","10","70","175","25","2","0","1"
"2.00","0.10","4.80","31.00","9","58","163","32","1","0","1"
"2.00","0.10","4.80","31.00","8","85","187","40","3","0","1"
"2.00","0.10","4.80","31.00","7","62","158","19","3","0","1"
"2.00","0.10","4.80","31.00","6","90","195","45","2","0","1"
"2.00","0.10","4.80","31.00","5","55","170","52","1","0","1"
"2.00","0.10","4.80","31.00","4","48","160","14","1","0","1"
"2.00","0.10","4.80","31.00","3","106","200","68","1","0","1"
"2.00","0.10","4.80","31.00","2","73","157","75","4","0","0"
"2.00","0.10","4.80","31.00","1","39","135","12","1","0","0"
"2.00","0.10","4.80","31.00","9","70","175","25","2","0","1"
"2.00","0.10","4.80","31.00","8","70","175","25","2","0","1"
"2.00","0.10","4.80","31.00","7","70","175","25","2","0","1"
"2.00","0.10","4.80","31.00","6","70","175","25","2","0","1"
"2.00","0.10","4.80","31.00","5","70","175","25","2","0","1"
"2.00","0.10","4.80","31.00","4","70","175","25","2","0","1"
"2.00","0.10","4.80","31.00","3","70","175","25","2","0","1"
"2.00","0.10","4.80","31.00","2","70","175","25","2","0","0"
"2.00","0.10","4.80","31.00","1","70","175","25","2","0","0"
"2.00","0.10","4.80","31.00","0","70","175","25","2","0","0"
"2.00","0.10","4.80","31.00","-1","70","175","25","2","0","0"
"2.00","0.10","4.80","31.00","1","70","175","25","2","0","0"
"2.00","0.10","4.80","31.00","1","58","163","32","1","0","0"
"2.00","0.10","4.80","31.00","1","85","187","40","3","0","0"
"2.00","0.10","4.80","31.00","1","62","158","19","3","0","0"
"2.00","0.10","4.80","31.00","1","90","195","45","2","0","0"
"2.00","0.10","4.80","31.00","1","55","170","52","1","0","0"
"2.00","0.10","4.80","31.00","1","48","160","14","1","0","0"
"2.00","0.10","4.80","31.00","1","106","200","68","1","0","0"
"2.00","0.10","4.80","31.00","1","73","157","75","4","0","0"
"2.00","0.10","4.80","31.00","2","39","135","12","1","0","0"
"2.00","0.10","4.80","31.00","2","70","175","25","2","0","0"
"2.00","0.10","4.80","31.00","2","58","163","32","1","0","0"
"2.00","0.10","4.80","31.00","2","85","187","40","3","0","0"
"2.00","0.10","4.80","31.00","2","62","158","19","3","0","0"
"2.00","0.10","4.80","31.00","2","90","195","45","2","0","0"
"2.00","0.10","4.80","31.00","2","55","170","52","1","0","0"
"2.00","0.10","4.80","31.00","2","48","160","14","1","0","0"
"2.00","0.10","4.80","31.00","2","106","200","68","1","0","0"
"2.00","0.10","4.80","31.00","2","73","157","75","4","0","0"
"2.00","0.10","4.80","31.00","3","39","135","12","1","0","1"
"2.00","0.10","4.80","31.00","11","62","158","19","4","0","1"
"3.10","4.50","4.80","72.00","10","70","175","25","2","1","0"
"3.10","4.50","4.80","72.00","9","58","163","32","1","1","0"
"3.10","4.50","4.80","72.00","8","85","187","40","3","1","0"
"3.10","4.50","4.80","72.00","7","62","158","19","3","1","0"
"3.10","4.50","4.80","72.00","6","90","195","45","2","1","0"
"3.10","4.50","4.80","72.00","5","55","170","52","1","1","0"
"3.10","4.50","4.80","72.00","4","48","160","14","1","1","0"
"3.10","4.50","4.80","72.00","3","106","200","68","1","1","0"
"3.10","4.50","4.80","72.00","2","73","157","75","4","1","0"
"3.10","4.50","4.80","72.00","1","39","135","12","1","1","0"
"3.10","4.50","4.80","72.00","10","70","175","25","2","0","1"
"3.10","4.50","4.80","72.00","9","58","163","32","1","0","1"
"3.10","4.50","4.80","72.00","8","85","187","40","3","0","1"
"3.10","4.50","4.80","72.00","7","62","158","19","3","0","1"
"3.10","4.50","4.80","72.00","6","90","195","45","2","0","1"
"3.10","4.50","4.80","72.00","5","55","170","52","1","0","1"
"3.10","4.50","4.80","72.00","4","48","160","14","1","0","1"
"3.10","4.50","4.80","72.00","3","106","200","68","1","0","1"
"3.10","4.50","4.80","72.00","2","73","157","75","4","0","0"
"3.10","4.50","4.80","72.00","1","39","135","12","1","0","0"
"3.10","4.50","4.80","72.00","9","70","175","25","2","0","1"
"3.10","4.50","4.80","72.00","8","70","175","25","2","0","1"
"3.10","4.50","4.80","72.00","7","70","175","25","2","0","1"
"3.10","4.50","4.80","72.00","6","70","175","25","2","0","1"
"3.10","4.50","4.80","72.00","5","70","175","25","2","0","1"
"3.10","4.50","4.80","72.00","4","70","175","25","2","0","1"
"3.10","4.50","4.80","72.00","3","70","175","25","2","0","1"
"3.10","4.50","4.80","72.00","2","70","175","25","2","0","0"
"3.10","4.50","4.80","72.00","1","70","175","25","2","0","0"
"3.10","4.50","4.80","72.00","0","70","175","25","2","0","0"
"3.10","4.50","4.80","72.00","-1","70","175","25","2","0","0"
"3.10","4.50","4.80","72.00","1","70","175","25","2","0","0"
"3.10","4.50","4.80","72.00","1","58","163","32","1","0","0"
"3.10","4.50","4.80","72.00","1","85","187","40","3","0","0"
"3.10","4.50","4.80","72.00","1","62","158","19","3","0","0"
"3.10","4.50","4.80","72.00","1","90","195","45","2","0","0"
"3.10","4.50","4.80","72.00","1","55","170","52","1","0","0"
"3.10","4.50","4.80","72.00","1","48","160","14","1","0","0"
"3.10","4.50","4.80","72.00","1","106","200","68","1","0","0"
"3.10","4.50","4.80","72.00","1","73","157","75","4","0","0"
"3.10","4.50","4.80","72.00","2","39","135","12","1","0","0"
"3.10","4.50","4.80","72.00","2","70","175","25","2","0","0"
"3.10","4.50","4.80","72.00","2","58","163","32","1","0","0"
"3.10","4.50","4.80","72.00","2","85","187","40","3","0","0"
"3.10","4.50","4.80","72.00","2","62","158","19","3","0","0"
"3.10","4.50","4.80","72.00","2","90","195","45","2","0","0"
"3.10","4.50","4.80","72.00","2","55","170","52","1","0","0"
"3.10","4.50","4.80","72.00","2","48","160","14","1","0","0"
"3.10","4.50","4.80","72.00","2","106","200","68","1","0","0"
"3.10","4.50","4.80","72.00","2","73","157","75","4","0","0"
"3.10","4.50","4.80","72.00","3","39","135","12","1","0","1"
"3.10","4.50","4.80","72.00","11","62","158","19","4","0","0"
"2.90","2.50","4.70","53.00","7","62","158","19","3","0","1"
"2.90","2.50","4.70","53.00","7","62","158","19","3","0","1"
"2.90","2.50","4.70","53.00","7","62","158","25","3","0","1"
"2.90","2.50","4.70","53.00","7","62","158","40","3","0","1"
"2.90","2.50","4.70","53.00","7","62","158","60","3","0","0"
"2.90","2.50","4.70","53.00","7","62","158","85","3","0","0"
"2.90","2.50","4.70","53.00","7","62","158","103","3","0","0"
"2.00","0.10","4.80","31.00","7","62","158","9","3","0","1"
"2.00","0.10","4.80","31.00","7","62","158","19","3","0","1"
"2.00","0.10","4.80","31.00","7","62","158","25","3","0","1"
"2.00","0.10","4.80","31.00","7","62","158","40","3","0","1"
"2.00","0.10","4.80","31.00","7","62","158","60","3","0","1"
"2.00","0.10","4.80","31.00","7","62","158","85","3","0","1"
"2.00","0.10","4.80","31.00","7","62","158","103","3","0","1"
"3.10","4.50","4.80","72.00","7","62","158","10","3","0","1"
"3.10","4.50","4.80","72.00","7","62","158","19","3","0","1"
"3.10","4.50","4.80","72.00","7","62","158","25","3","0","1"
"3.10","4.50","4.80","72.00","7","62","158","40","3","0","0"
"3.10","4.50","4.80","72.00","7","62","158","60","3","0","0"
"3.10","4.50","4.80","72.00","7","62","158","85","3","0","0"
"3.10","4.50","4.80","72.00","7","62","158","103","3","0","0"
"2.00","0.10","4.80","31.00","7","62","158","9","4","0","1"
"2.00","0.10","4.80","31.00","7","62","158","19","4","0","1"
"2.00","0.10","4.80","31.00","7","62","158","25","4","0","1"
"2.00","0.10","4.80","31.00","7","62","158","40","4","0","1"
"2.00","0.10","4.80","31.00","7","62","158","60","4","0","1"
"2.00","0.10","4.80","31.00","7","62","158","85","4","0","1"
"2.00","0.10","4.80","31.00","7","62","158","103","4","0","1"
